"category_main","higest_rating","total_rating","product_name","discounted_price"
"Car&Motorbike","3.80","1,118","Reffair AX30 [MAX] Portable Air Purifier for Car, Home & Office | Smart Ionizer Function | H13 Grade True HEPA Filter [Internationally Tested] Aromabuds Fragrance Option - Black","2,339.00"
"Computers&Accessories","5.00","23","Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop","499.00"
"Computers&Accessories","5.00","5","Syncwire LTG to USB Cable for Fast Charging Compatible with Phone 5/ 5C/ 5S/ 6/ 6S/ 7/8/ X/XR/XS Max/ 11/12/ 13 Series and Pad Air/Mini, Pod & Other Devices (1.1 Meter, White)","399.00"
"Computers&Accessories","5.00","1","REDTECH USB-C to Lightning Cable 3.3FT, [Apple MFi Certified] Lightning to Type C Fast Charging Cord Compatible with iPhone 14/13/13 pro/Max/12/11/X/XS/XR/8, Supports Power Delivery - White","249.00"
"Electronics","4.70","7,779","Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro Max - 2 Pack (Sensor Protection)","999.00"
"Electronics","4.70","5,935","Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black)","77,990.00"
"Health&PersonalCare","4.00","3,663","Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue)","899.00"
"Home&Kitchen","4.80","53,803","Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))","1,439.00"
"Home&Kitchen","4.80","3,964","Instant Pot Air Fryer, Vortex 2QT, Touch Control Panel, 360° EvenCrisp™ Technology, Uses 95 % less Oil, 4-in-1 Appliance: Air Fry, Roast, Bake, Reheat (Vortex 1.97Litre, Black)","4,995.00"
"Home&Kitchen","4.80","28","Oratech Coffee Frother electric, milk frother electric, coffee beater, cappuccino maker, Coffee Foamer, Mocktail Mixer, Coffee Foam Maker, coffee whisker electric, Froth Maker, coffee stirrers electric, coffee frothers, Coffee Blender, (6 Month Warranty) (Multicolour)","279.00"
"HomeImprovement","4.50","5,985","Gizga Essentials Cable Organiser, Cord Management System for PC, TV, Home Theater, Speaker & Cables, Reusable Cable Organizer for Desk, WFH Accessories, Organizer Tape Roll, Reusable Cable Ties Strap","249.00"
"MusicalInstruments","4.00","68,664","Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black)","798.00"
"OfficeProducts","4.50","8,618","Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages","157.00"
"OfficeProducts","4.50","8,610","Casio MJ-12D 150 Steps Check and Correct Desktop Calculator","440.00"
"OfficeProducts","4.50","5,760","Casio FX-991ES Plus-2nd Edition Scientific Calculator, Black","1,295.00"
"OfficeProducts","4.50","4,951","Classmate Drawing Book - Unruled, 40 Pages, 210 mm x 297 mm - Pack Of 4","120.00"
"OfficeProducts","4.50","4,428","Classmate Soft Cover 6 Subject Spiral Binding Notebook, Unruled, 300 Pages","157.00"
"OfficeProducts","4.50","3,785","Luxor 5 Subject Single Ruled Notebook - A4, 70 GSM, 300 pages","252.00"
"OfficeProducts","4.50","1,674","Classmate Long Book - Unruled, 160 Pages, 314 mm x 194 mm - Pack Of 3","165.00"
"Toys&Games","4.30","15,867","Faber-Castell Connector Pen Set - Pack of 25 (Assorted)","150.00"
